leeyes_id,priority_tier,priority_rank,priority_reason
LEY-SHELL-012,P1,1,既存UI上のPartialを先に完成
LEY-FILER-016,P1,2,既存navigation上のPartialを先に完成
LEY-CATALOG-010,P1,3,既存thumbnail設定のPartialを先に完成
LEY-FILE-001,P1,4,既存picker経路のPartialを先に完成
LEY-FILE-009,P1,5,既存履歴基盤のPartialを先に完成
LEY-VIEWER-020,P1,6,既存zoom操作のPartialを先に完成
LEY-VIEWER-022,P1,7,既存zoom状態のPartialを先に完成
LEY-INPUT-004,P1,8,既存shortcut設定のPartialを先に完成
LEY-SETTING-005,P1,9,既存復元状態のPartialを先に完成
LEY-HELP-001,P1,10,既存help表示のPartialを先に完成
LEY-SHELL-013,P1,11,利用頻度が高い独立S機能
LEY-FILER-007,P1,12,利用頻度が高い独立S機能
LEY-FILER-011,P1,13,利用頻度が高い独立S機能
LEY-FILER-014,P1,14,利用頻度が高い独立S機能
LEY-FILER-018,P1,15,局所的な表示設定
LEY-VIEWER-006,P1,16,独立したviewer操作
LEY-VIEWER-021,P1,17,独立したzoom指定
LEY-VIEWER-031,P1,18,独立したviewer overlay
LEY-INPUT-010,P1,19,独立したpointer設定
LEY-INPUT-012,P1,20,独立したwheel設定
LEY-SETTING-006,P1,21,既存読書位置を使う復元機能
LEY-VIEWER-007,P2,1,slideshow基盤のPartialを先に完成
LEY-VIEWER-009,P2,2,既存巻末policyのPartialを先に完成
LEY-VIEWER-010,P2,3,既存bookmark基盤のPartialを先に完成
LEY-VIEWER-013,P2,4,spread判定基盤のPartialを先に完成
LEY-VIEWER-014,P2,5,spread判定基盤に依存
LEY-VIEWER-019,P2,6,既存fit計算のPartialを先に完成
LEY-VIEWER-026,P2,7,scroll入力基盤のPartialを先に完成
LEY-VIEWER-027,P2,8,scroll入力基盤に依存
LEY-VIEWER-029,P2,9,既存loupeのPartialを先に完成
LEY-VIEWER-032,P2,10,既存prefetch基盤のPartialを先に完成
LEY-VIEWER-033,P2,11,既存fullscreen lifecycleのPartialを先に完成
LEY-SHELL-014,P2,12,viewerとwindow lifecycleの共通基盤
LEY-VIEWER-008,P2,13,slideshow基盤に依存
